,fold,feature_name,feature,loss
395,train,knn,0.0,1.0
396,train,knn,0.0,1.0
397,train,knn,0.0,1.0
398,train,knn,0.0,1.0
399,train,knn,0.0,0.0
400,train,knn,0.0,1.0
401,train,knn,0.0,1.0
402,train,knn,0.0,1.0
403,train,knn,0.0,1.0
404,train,knn,0.0,1.0
405,train,knn,0.0,1.0
406,train,knn,0.0,1.0
407,train,knn,0.0,1.0
408,train,knn,0.0,1.0
409,train,knn,0.0,1.0
410,train,knn,0.0,0.0
411,train,knn,0.0,1.0
412,train,knn,0.0,1.0
413,train,knn,0.0,1.0
414,train,knn,0.0,1.0
415,train,knn,0.0,1.0
416,train,knn,0.0,1.0
417,train,knn,0.0,1.0
418,train,knn,0.0,1.0
419,train,knn,0.0,1.0
420,train,knn,0.0,1.0
421,train,knn,0.0,1.0
422,train,knn,0.0,1.0
423,train,knn,0.0,1.0
424,train,knn,0.0,1.0
425,train,knn,0.0,1.0
426,train,knn,0.0,1.0
427,train,knn,0.0,1.0
428,train,knn,0.0,1.0
429,train,knn,0.0,1.0
430,train,knn,0.0,1.0
431,train,knn,0.0,1.0
432,train,knn,0.0,1.0
433,train,knn,0.0,1.0
434,train,knn,0.0,1.0
435,train,knn,0.0,0.0
436,train,knn,0.0,1.0
437,train,knn,0.0,1.0
438,train,knn,0.0,1.0
439,train,knn,0.0,1.0
440,train,knn,0.0,1.0
441,train,knn,0.0,1.0
442,train,knn,0.0,1.0
443,train,knn,0.0,1.0
444,train,knn,0.0,1.0
445,train,knn,0.0,1.0
446,train,knn,0.0,1.0
447,train,knn,0.0,0.0
448,train,knn,0.0,1.0
449,train,knn,0.0,1.0
450,train,knn,0.0,1.0
451,train,knn,0.0,1.0
452,train,knn,0.0,1.0
453,train,knn,0.0,1.0
454,train,knn,0.0,0.0
455,train,knn,0.0,1.0
456,train,knn,0.0,1.0
457,train,knn,0.0,1.0
458,train,knn,0.0,1.0
459,train,knn,0.0,1.0
460,train,knn,0.0,1.0
461,train,knn,0.0,1.0
462,train,knn,0.0,1.0
463,train,knn,0.0,1.0
464,train,knn,0.0,1.0
465,train,knn,0.0,0.0
466,train,knn,0.0,1.0
467,train,knn,0.0,1.0
468,train,knn,0.0,1.0
469,train,knn,0.0,1.0
470,train,knn,0.0,1.0
471,train,knn,0.0,1.0
472,train,knn,0.0,1.0
473,train,knn,0.0,1.0
474,train,knn,0.0,1.0
475,train,knn,0.0,1.0
476,train,knn,0.0,0.0
477,train,knn,0.0,1.0
478,train,knn,0.0,1.0
479,train,knn,0.0,1.0
480,train,knn,0.0,1.0
481,train,knn,0.0,1.0
482,train,knn,0.0,1.0
483,train,knn,0.0,1.0
484,train,knn,0.0,1.0
485,train,knn,0.0,1.0
486,train,knn,0.0,1.0
487,train,knn,0.0,1.0
488,train,knn,0.0,1.0
489,train,knn,0.0,1.0
490,train,knn,0.0,1.0
491,train,knn,0.0,1.0
492,train,knn,0.0,1.0
493,train,knn,0.0,1.0
494,train,knn,0.0,1.0
495,train,knn,0.0,1.0
496,train,knn,0.0,1.0
497,train,knn,0.0,1.0
498,train,knn,0.0,1.0
499,train,knn,0.0,1.0
500,train,knn,0.0,1.0
501,train,knn,0.0,1.0
502,train,knn,0.0,1.0
503,train,knn,0.0,0.0
504,train,knn,0.0,0.0
505,train,knn,0.0,1.0
506,train,knn,0.0,1.0
507,train,knn,0.0,0.0
508,train,knn,0.0,1.0
509,train,knn,0.0,1.0
510,train,knn,0.0,1.0
511,train,knn,0.0,1.0
512,train,knn,0.0,1.0
513,train,knn,0.0,1.0
514,train,knn,0.0,1.0
515,train,knn,0.0,1.0
516,train,knn,0.0,1.0
517,train,knn,0.0,1.0
518,train,knn,0.0,1.0
519,train,knn,0.0,1.0
520,train,knn,0.0,1.0
521,train,knn,0.0,1.0
522,train,knn,0.0,1.0
523,train,knn,0.0,1.0
524,train,knn,0.0,1.0
525,train,knn,0.0,0.0
526,train,knn,0.0,1.0
527,train,knn,0.0,1.0
528,train,knn,0.0,1.0
529,train,knn,0.0,1.0
530,train,knn,0.0,1.0
531,train,knn,0.0,1.0
532,train,knn,0.0,1.0
533,train,knn,0.0,0.0
534,train,knn,0.0,1.0
535,train,knn,0.0,1.0
536,train,knn,0.0,1.0
537,train,knn,0.0,1.0
538,train,knn,0.0,1.0
539,train,knn,0.0,1.0
540,train,knn,0.0,0.0
541,train,knn,0.0,1.0
542,train,knn,0.0,1.0
543,train,knn,0.0,1.0
544,train,knn,0.0,1.0
545,train,knn,0.0,1.0
546,train,knn,0.0,1.0
547,train,knn,0.0,1.0
548,train,knn,0.0,1.0
549,train,knn,0.0,1.0
550,train,knn,0.0,1.0
551,train,knn,0.0,1.0
552,train,knn,0.0,1.0
553,train,knn,0.0,1.0
554,train,knn,0.0,1.0
555,train,knn,0.0,1.0
556,train,knn,0.0,1.0
557,train,knn,0.0,1.0
558,train,knn,0.0,1.0
559,train,knn,0.0,1.0
560,train,knn,0.0,1.0
561,train,knn,0.0,1.0
562,train,knn,0.0,1.0
563,train,knn,0.0,1.0
564,train,knn,0.0,1.0
565,train,knn,0.0,1.0
566,train,knn,0.0,1.0
567,train,knn,0.0,1.0
568,train,knn,0.0,0.0
569,train,knn,0.0,1.0
570,train,knn,0.0,1.0
571,train,knn,0.0,0.0
572,train,knn,0.0,1.0
573,train,knn,0.0,1.0
574,train,knn,0.0,1.0
575,train,knn,0.0,1.0
576,train,knn,0.0,1.0
577,train,knn,0.0,1.0
578,train,knn,0.0,1.0
579,train,knn,0.0,1.0
580,train,knn,0.0,1.0
581,train,knn,0.0,1.0
582,train,knn,0.0,1.0
583,train,knn,0.0,0.0
584,train,knn,0.0,1.0
585,train,knn,0.0,1.0
586,train,knn,0.0,1.0
587,train,knn,0.0,1.0
588,train,knn,0.0,0.0
589,train,knn,0.0,1.0
590,train,knn,0.0,1.0
591,train,knn,0.0,1.0
