,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,Rate Error,Accuracy Error,dsd,ba,tpr,tnr,rate,test_set,val_set
1,Detector Tree,350.5,1319.6424241854636,1340.5491979949875,0.8224249002506265,0.7760651629072681,0.5207769423558897,0.5207769423558897,0.510392731829574,0.996,0.6409999999999999,0.6409999999999999,0.023042857142857143,0.04960319398496242,energy,1.0,1.0,1.0,0.5,Art,Art
0,Base Tree,350.5,1905.9269278195486,1527.984962406015,0.7916513233082707,0.8536090225563909,0.5644611528822056,0.5638345864661655,0.5756300751879699,0.996,0.6409999999999999,0.6409999999999999,0.02884611528822059,0.061957699248120286,energy,1.0,1.0,1.0,0.6000000000000001,Art,Art
1,Detector Tree,350.5,1405.5926240601502,1388.0096240601504,0.7999832541353383,0.8536090225563909,0.5644611528822056,0.5638345864661655,0.5756300751879699,0.996,0.6409999999999999,0.6409999999999999,0.02884611528822059,0.05362576842105261,energy,1.0,1.0,1.0,0.6000000000000001,Art,Art
0,Base Tree,350.5,2066.5191052631576,1756.6967418546367,0.7653247368421053,0.8161152882205513,0.6399749373433584,0.6393483709273183,0.6497894736842106,0.996,0.6409999999999999,0.6409999999999999,0.052167418546365966,0.05364908521303257,energy,1.0,1.0,1.0,0.7000000000000001,Art,Art
1,Detector Tree,350.5,1503.2976315789474,1487.8520050125312,0.7744724210526316,0.8161152882205513,0.6399749373433584,0.6393483709273183,0.6497894736842106,0.996,0.6409999999999999,0.6409999999999999,0.052167418546365966,0.04682076390977442,energy,1.0,1.0,1.0,0.7000000000000001,Art,Art
0,Base Tree,350.5,2324.1300245614034,2057.1102756892233,0.7230934385964913,0.7668671679197996,0.7644360902255639,0.7638095238095238,0.7687508771929825,0.996,0.6409999999999999,0.6409999999999999,0.03126015037593989,0.04783454385964911,energy,1.0,1.0,1.0,0.8,Art,Art
1,Detector Tree,350.5,1660.0292807017543,1653.0387719298244,0.7335496982456141,0.7668671679197996,0.7644360902255639,0.7638095238095238,0.7687508771929825,0.996,0.6409999999999999,0.6409999999999999,0.03126015037593989,0.043023326315789485,energy,1.0,1.0,1.0,0.8,Art,Art
0,Base Tree,350.5,2535.602768295739,2381.220551378446,0.6884257756892231,0.7137343358395989,0.86734335839599,0.8667167919799499,0.8664062656641605,0.996,0.6409999999999999,0.6409999999999999,0.03474110275689227,0.046713394736842086,energy,1.0,1.0,1.0,0.9,Art,Art
1,Detector Tree,350.5,1788.6902550125312,1788.9982205513786,0.6999562446115288,0.7137343358395989,0.86734335839599,0.8667167919799499,0.8664062656641605,0.996,0.6409999999999999,0.6409999999999999,0.03474110275689227,0.0420568521303258,energy,1.0,1.0,1.0,0.9,Art,Art
0,Base Tree,350.5,2824.8999999999996,2739.5764411027567,0.6409999999999999,0.6549874686716791,1.0,1.0,1.0,0.996,0.6409999999999999,0.6409999999999999,0.0,0.04016290726817044,energy,1.0,1.0,1.0,1.0,Art,Art
1,Detector Tree,350.5,1964.7,1964.749373433584,0.654,0.6549874686716791,1.0,1.0,1.0,0.996,0.6409999999999999,0.6409999999999999,0.0,0.03928320802005012,energy,1.0,1.0,1.0,1.0,Art,Art
0,Base Tree,350.5,665.2180852130327,650.1353383458646,0.9950462155388471,0.9975187969924811,0.0006265664160401002,0.0,0.00268671679197995,0.996,0.6409999999999999,0.599,0.00268671679197995,0.005450025062656642,energy,1.0,1.0,1.0,0.0,Clipart,Art
1,Detector Tree,350.5,650.7397493734336,650.9793233082706,0.9970757694235589,0.9975187969924811,0.0006265664160401002,0.0,0.00268671679197995,0.996,0.6409999999999999,0.599,0.00268671679197995,0.00441295238095238,energy,1.0,1.0,1.0,0.0,Clipart,Art
0,Base Tree,350.5,954.5153169172931,1019.3458646616541,0.9476204398496241,0.9369924812030076,0.13328320802005011,0.13328320802005011,0.13628045112781956,0.996,0.6409999999999999,0.599,0.03742781954887218,0.02176551754385962,energy,1.0,1.0,1.0,0.1,Clipart,Art
1,Detector Tree,350.5,826.7494943609022,826.6415037593986,0.95111952481203,0.9369924812030076,0.13328320802005011,0.13328320802005011,0.13628045112781956,0.996,0.6409999999999999,0.599,0.03742781954887218,0.023254919298245576,energy,1.0,1.0,1.0,0.1,Clipart,Art
0,Base Tree,350.5,1165.988060651629,1310.280701754386,0.912952776942356,0.889298245614035,0.23619047619047617,0.23619047619047617,0.2339358395989975,0.996,0.6409999999999999,0.599,0.033935839598997486,0.026454616541353383,energy,1.0,1.0,1.0,0.2,Clipart,Art
1,Detector Tree,350.5,955.4104686716792,962.8728822055137,0.9175260711779449,0.889298245614035,0.23619047619047617,0.23619047619047617,0.2339358395989975,0.996,0.6409999999999999,0.599,0.033935839598997486,0.029831402506265682,energy,1.0,1.0,1.0,0.2,Clipart,Art
0,Base Tree,350.5,1423.5989799498748,1579.6591478696741,0.8707214786967419,0.8451378446115287,0.3606516290726817,0.3606516290726817,0.35289724310776943,0.996,0.6409999999999999,0.599,0.05289724310776938,0.032700578947368414,energy,1.0,1.0,1.0,0.30000000000000004,Clipart,Art
